고객ID,feature
200214727,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200214808,"[0.0, 0.0, 0.0, 0.4395780137515935, 0.0, 0.0, 0.0, 0.5604219862484066]"
200215357,"[0.20996811270128987, 0.5857985410274147, 0.0, 0.045739941384906856, 0.0, 0.0, 0.07344932968536903, 0.08504407520101953]"
200216724,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200218834,"[0.0, 0.0, 0.0, 0.07436719619754878, 0.6162985910371273, 0.0, 0.0867312175347662, 0.2226029952305576]"
200219149,"[0.0, 0.0, 0.0, 0.3893096732092515, 0.0, 0.0, 0.6106903267907485, 0.0]"
200219714,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200222632,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200224600,"[0.0, 0.812808098191273, 0.0, 0.017445238639169268, 0.15092530637825358, 0.0, 0.0, 0.018821356791304124]"
200227077,"[0.03897470259297262, 0.0, 0.0, 0.1349254405541526, 0.1826152032394619, 0.13392985152130285, 0.2672403510447959, 0.2423144510473141]"
200227159,"[0.0, 0.20806959570982247, 0.0, 0.20987049359098048, 0.12023897137586388, 0.0, 0.3334847735697415, 0.1283361657535916]"
200227564,"[0.0, 0.0, 0.0, 0.14857782616312665, 0.482872974444277, 0.0, 0.0, 0.3685491993925963]"
200228765,"[0.0, 0.0, 0.0, 0.21859414470620653, 0.2158265802834441, 0.0, 0.2782350451870058, 0.2873442298233435]"
200229028,"[0.0, 0.0, 0.0, 0.13498391547375174, 0.4715333557405896, 0.0, 0.0, 0.3934827287856586]"
200230935,"[0.0, 0.0, 0.0, 0.10293171829794205, 0.6099975336931128, 0.0, 0.0, 0.28707074800894505]"
200233219,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
200234339,"[0.0, 0.0, 0.0, 0.0337280574381412, 0.364255858349814, 0.0, 0.0, 0.6020160842120447]"
200235208,"[0.0, 0.0, 0.0, 0.05740467749260665, 0.6033758341999773, 0.0, 0.0, 0.33921948830741605]"
200236349,"[0.46688516229675014, 0.0, 0.0, 0.14333955162687836, 0.30354868207906194, 0.0, 0.0, 0.08622660399730968]"
200237096,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
200237843,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
